run_id,method,dataset,direction,seed,config_path,split_file,checkpoint_path_manifest,checkpoint_bundled,selection_metric,selection_mode,selection_partition,uses_test_gallery_probe,verdict,notes
tongji_m0_s1_s2_seed42,M0,Tongji,S1->S2,42,configs/rankb_final/m0_resnet18_ce_tongji_s1s2_seed42.yaml,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,false,validation_rank1,max,validation,false,PASS,No checkpoint files are bundled; manifest paths are relative and reproduce local selection provenance.
tongji_m0_s1_s2_seed2026,M0,Tongji,S1->S2,2026,configs/rankb_final/m0_resnet18_ce_tongji_s1s2_seed2026.yaml,data/splits/tongji_subject_disjoint_s1_to_s2_seed2026.json,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,false,validation_rank1,max,validation,false,PASS,No checkpoint files are bundled; manifest paths are relative and reproduce local selection provenance.
tongji_m0_s1_s2_seed2705,M0,Tongji,S1->S2,2705,configs/rankb_final/m0_resnet18_ce_tongji_s1s2_seed2705.yaml,data/splits/tongji_subject_disjoint_s1_to_s2_seed2705.json,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,false,validation_rank1,max,validation,false,PASS,No checkpoint files are bundled; manifest paths are relative and reproduce local selection provenance.
tongji_m0_s2_s1_seed42,M0,Tongji,S2->S1,42,configs/rankb_final/m0_resnet18_ce_tongji_s2s1_seed42.yaml,data/splits/tongji_subject_disjoint_s2_to_s1_seed42.json,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,false,validation_rank1,max,validation,false,PASS,No checkpoint files are bundled; manifest paths are relative and reproduce local selection provenance.
tongji_m0_s2_s1_seed2026,M0,Tongji,S2->S1,2026,configs/rankb_final/m0_resnet18_ce_tongji_s2s1_seed2026.yaml,data/splits/tongji_subject_disjoint_s2_to_s1_seed2026.json,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,false,validation_rank1,max,validation,false,PASS,No checkpoint files are bundled; manifest paths are relative and reproduce local selection provenance.
tongji_m0_s2_s1_seed2705,M0,Tongji,S2->S1,2705,configs/rankb_final/m0_resnet18_ce_tongji_s2s1_seed2705.yaml,data/splits/tongji_subject_disjoint_s2_to_s1_seed2705.json,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,false,validation_rank1,max,validation,false,PASS,No checkpoint files are bundled; manifest paths are relative and reproduce local selection provenance.
tongji_m1_s1_s2_seed42,M1,Tongji,S1->S2,42,configs/rankb_final/m1_resnet18_ce_supcon_tongji_s1s2_seed42.yaml,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,false,validation_rank1,max,validation,false,PASS,No checkpoint files are bundled; manifest paths are relative and reproduce local selection provenance.
tongji_m1_s1_s2_seed2026,M1,Tongji,S1->S2,2026,configs/rankb_final/m1_resnet18_ce_supcon_tongji_s1s2_seed2026.yaml,data/splits/tongji_subject_disjoint_s1_to_s2_seed2026.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,false,validation_rank1,max,validation,false,PASS,No checkpoint files are bundled; manifest paths are relative and reproduce local selection provenance.
tongji_m1_s1_s2_seed2705,M1,Tongji,S1->S2,2705,configs/rankb_final/m1_resnet18_ce_supcon_tongji_s1s2_seed2705.yaml,data/splits/tongji_subject_disjoint_s1_to_s2_seed2705.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,false,validation_rank1,max,validation,false,PASS,No checkpoint files are bundled; manifest paths are relative and reproduce local selection provenance.
tongji_m1_s2_s1_seed42,M1,Tongji,S2->S1,42,configs/rankb_final/m1_resnet18_ce_supcon_tongji_s2s1_seed42.yaml,data/splits/tongji_subject_disjoint_s2_to_s1_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,false,validation_rank1,max,validation,false,PASS,No checkpoint files are bundled; manifest paths are relative and reproduce local selection provenance.
